,Name,Price,Rating
162,"OPPO K10 (Black Carbon, 128 GB)",16990,4.4
163,"realme 8 (Cyber Black, 128 GB)",15999,4.4
164,"realme 8 (Cyber Silver, 128 GB)",17999,4.4
165,"REDMI Note 10 Pro (Vintage Bronze, 128 GB)",15999,4.3
166,"vivo T1 44W (Ice Dawn, 128 GB)",17999,4.3
167,"vivo T1 44W (Starry Sky, 128 GB)",17999,4.3
168,"POCO M4 Pro (Power Black, 128 GB)",14999,4.3
169,"REDMI Note 10 Pro Max (Dark Nebula, 128 GB)",17999,4.3
170,"REDMI 9 Activ (Carbon Black, 64 GB)",8910,4.2
171,Micromax X413,915,4.0
172,"REDMI 9 Activ (Coral Green, 64 GB)",8915,4.2
173,"realme 9 Pro 5G (Sunrise Blue, 128 GB)",18999,4.3
174,LAVA GEM,1680,4.2
175,"REDMI 10 (Midnight Black, 128 GB)",12499,4.2
176,"APPLE iPhone 11 (Purple, 64 GB)",43999,4.6
177,"MOTOROLA g52 (Charcoal Grey, 64 GB)",14499,4.1
178,"MOTOROLA g52 (Metallic White, 64 GB)",14499,4.1
179,"realme C35 (Glowing Green, 128 GB)",13999,4.2
180,"APPLE iPhone 11 (Black, 128 GB)",48999,4.6
181,"realme C11 2021 (Cool Blue, 64 GB)",8999,4.3
182,"REDMI 10 (Caribbean Green, 128 GB)",12499,4.2
183,"APPLE iPhone 11 (Black, 64 GB)",41999,4.6
184,"REDMI 10 (Pacific Blue, 128 GB)",12499,4.2
185,"REDMI 10 PRIME 2022 (Bifrost Blue, 64 GB)",12398,4.2
186,Micromax X413,906,4.0
187,"Infinix Hot 11S (7° Purple, 64 GB)",9999,4.3
188,"Infinix Hot 11S (Polar Black, 64 GB)",9999,4.3
189,"realme C20 (Cool Blue, 32 GB)",7499,4.4
190,"realme C20 (Cool Grey, 32 GB)",7499,4.4
191,"POCO M4 Pro 5G (Yellow, 64 GB)",12999,4.3
192,"REDMI 10 (Pacific Blue, 128 GB)",12499,4.2
193,Micromax X413,906,4.0
194,"realme 9 (Meteor Black, 128 GB)",18999,4.4
195,"POCO M4 Pro 5G (Yellow, 64 GB)",12999,4.3
196,"REDMI 10 PRIME 2022 (Bifrost Blue, 64 GB)",12398,4.2
197,"realme C30 (Bamboo Green, 32 GB)",7499,4.4
198,"realme C30 (Lake Blue, 32 GB)",7499,4.4
199,"POCO M4 Pro (Cool Blue, 128 GB)",14999,4.3
200,"REDMI Note 10T 5G (Graphite Black, 64 GB)",11999,4.4
201,"MOTOROLA g52 (Metallic White, 128 GB)",16499,4.1
202,"realme C25_Y (Glacier Blue, 128 GB)",11999,4.4
203,"Infinix Hot 12 Pro (Electric Blue, 64 GB)",10999,0.0
204,"Infinix Hot 12 Pro (Lightsaber Green, 64 GB)",10999,0.0
205,"realme Narzo 50i (Mint Green, 64 GB)",8999,4.3
206,"realme C35 (Glowing Black, 128 GB)",13999,4.2
207,"realme Narzo 50i (Mint Green, 32 GB)",7499,4.5
208,"realme Narzo 50i (Carbon Black, 32 GB)",7499,4.5
209,Nokia 105 TA-1416 DS,1449,4.1
210,"APPLE iPhone 12 (Black, 256 GB)",62999,4.6
211,Nokia 105 SS,1418,4.2
212,"APPLE iPhone 11 (Red, 128 GB)",46999,4.6
213,"POCO M4 5G (Yellow, 128 GB)",12999,4.2
214,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",10499,4.3
215,LAVA A3 Power,1275,4.1
